Component,Description,Type
10.1108/PR-10-2021-0704,"Employer's investments in job crafting to promote knowledge worker's sustainable employability: a moderated mediation model. Purpose The primary study purpose is to examine whether managerial support triggers job crafting and sustainable employability, and to what extent work uncertainty moderates the managerial support and sustainable employability relationships mediated by job crafting using a moderated mediation approach. Thus, this study aims to uncover new antecedent and outcomes of job crafting using job demands and resources (JD-R) theory as no such research has yet examined these relationships. Design/methodology/approach The structural equation modeling (SEM) technique was employed to test the proposed relationships based on survey data that include a final 483 knowledge workers of the services sector. The authors tested the structural model using self-developed estimates for AMOS 24.0 to examine the moderated mediation process models (process models 7, 14 and 58) rather than using a conventional process macro through SPSS. Findings Consistent with the formulated hypothesis, the results of this study indicate that managerial support directly stimulates job crafting and sustainable employability. Further, job crafting mediates the relationships between managerial support and sustainable employability. This validates the JD-R theory assumption that managerial support as job resources initiates a motivational process through job crafting, leading to sustainable employability as the outcome of the motivational process. Additionally, the moderated mediation results show that in the presence of high work uncertainty, employees are more engaged in job crafting to boost their sustainable employability. Practical implications Organizations may incorporate these findings while developing human resources (HR) management policies and practices to align top-down and bottom-up job re(design) approaches. For example, by designing line managers' role in implementation of supportive HR practices, their supportive leadership behavior towards employees will successfully trigger job crafting and nurture their sustainable employability. Originality/value This research adds to the work design and employability literature. No such study has yet examined whether managerial support triggers job crafting and sustainable employability. Prior studies examine personality traits, some individual difference variable, job characteristics, or leadership influence as antecedents of job crafting. Utilizing the JD-R theory, we empirically validate that job crafting plays a vital role in the motivational process initiated by the job resources (managerial support), leading to sustainable employability as an outcome of the motivational process. The authors further show that in the presence of high job demands (work uncertainty), employees are more engaged in job crafting and more conscious to boost their sustainable employability.",art
10.1108/PR-03-2021-0163,"Individual outcomes of employee resource group membership. Purpose This article illustrates the experiences of employee resource group (ERG) members over a two-year period with the aim of understanding the benefits and risks of membership for sexual minority employees. Design/methodology/approach Qualitative interview data were collected from seven lesbian, gay or bisexual ERG members following an extreme case approach at two points in time separated by two years. Findings Three themes of outcomes related to ERG membership emerged from the data. Participants reported both benefits and risks associated with the social and career-related consequences of membership. The role that allies play in providing visibility, legitimacy and support to ERG members also emerged and shifted in importance over the two years between interviews, with ally involvement becoming more important to career outcomes over time. Practical implications This study illuminates potential consequences of supporting ERGs for minority employees, as well as insight into the role of allies in these groups. Originality/value This study contributes to the literature by revealing several individual outcomes of a growing form of diversity management practice: ERGs.",art
10.1108/PR-12-2020-0912,"How does the power dynamics in the information technology outsourcing supply chain influence supplier's talent retention: a multiple case study. Purpose The purpose of this paper is to investigate how the power dynamics between the client firm and the supplier firm in the information technology outsourcing (ITO) supplier chain influence the supplier firm's human resource management (HRM) practices, particularly talent retention. Design/methodology/approach A multi-case study approach was adopted comprising four supplier firms, three client firms and a total of 53 interviews. The transaction cost economics (TCE) is the theoretical lens that guides the interpretation of our findings. Findings The power dynamics between client and supplier firms in the ITO supply chain is one underpinned by TCE theory, characterised by an asymmetric client-dominated, transactional relationship, with the client firms controlling the why, the what, and the how dimensions of their collaboration. This three-dimensional control led to high talent turnover in supplier firms, which boomerangs to perpetuate the power dynamic, forming vicious cycles of talent turnover in the ITO supplier chain. Originality/value No previous study has analysed power dynamics as an external factor on ITO supplier firms' talent retention. The construct of the three-dimensional-control offers a framework to study power dynamics in the ITO supplier chain. The study's framework of the vicious cycles of talent turnover is the first that explains the mechanisms through which the power dynamics in the ITO influences supplier's talent retention.",art
10.1108/PR-02-2022-885,Personnel Review after 50: the next chapter. ,art
10.1108/PR-03-2021-0174,"When can felt accountability promote innovative work behavior? The role of transformational leadership. Purpose Studies have reported negative effects of felt accountability on employees' extra-role behavior. Deviating from that focus, this study proposes that leadership plays a role in shaping the implications of felt accountability for employees' extra-role behavior. We propose that under high transformational leadership, felt accountability can motivate employees to engage in task-relevant information elaboration and facilitate innovative work behavior, a form of extra-role behavior that seeks to improve the work environment. Design/methodology/approach We conducted a pilot study to validate measurements of felt accountability and task-relevant information elaboration in a sample of 202 employees. We then conducted the main study using a time-lagged, multisource survey design with a sample of 120 supervisor-employee pairs. Findings The results from the main study reveal that the association between felt accountability and task-related information elaboration is positive and stronger when transformational leadership is higher. Furthermore, task-relevant information elaboration positively predicts innovative work behavior. Finally, when transformational leadership is higher, the mediation effect of task-relevant information elaboration on the association between felt accountability and innovative work behavior is stronger. Originality/value Our study indicates that felt accountability can have positive implications for employees' extra-role behavior contingent on leadership styles. In contrast to previous studies that emphasize the negative implications of felt accountability on employees' behavior, our study depicts when and why felt accountability can have positive implications on employees' behavior.",art
10.1108/PR-04-2020-0304,"Leading Machiavellians on the road to better organizational behavior. Purpose Studies highlighting negative behavioral influences of Machiavellians are plentiful; however, those prescribing their management are scarce. Machiavellians are intelligent, adaptable and resourceful people with negative, self-serving and unethical persona traits. Their abundance in organizations poses a challenge for managers in minimizing negative consequences of Machiavellian's manipulative behaviors and tap into their true potential. Leadership can play a crucial role in this regard. This purpose of this paper is to investigate the moderating effects of transformational leadership (TFL) versus transactional leadership (TSL) styles on the relationship between subordinates' Machiavellianism and their organizational citizenship behavior (OCB) and counterproductive work behavior (CWB). The aim was to highlight the style that better adept in managing high-Mach subordinates. Design/methodology/approach This cross-sectional study used multiple surveys administered to 90 managers and their 269 subordinates from 56 organizations. Multiple regression was used for testing and hypothesize linear and supplementary nonlinear relationships between the study variables. Findings After a detailed data analysis, authors posit that, as compared to TFL, the TSL style is better suited for managing Machiavellian subordinates. Practical implications By employing transactional tactics, leaders can reign in the divergent behavior of Machiavellians, thus, transforming them into useful organizational assets. Originality/value This study expands on limited body of knowledge on managing Machiavellians. It advocates using TSL for improving the OCB of Machiavellians while countering their CWBs. Furthermore, this study contributes to transactional/transformational theories as it lends credence to the situational theory of leadership.",art
10.1108/PR-04-2020-0262,"Does leaders' adoption of employee voice influence employee work engagement?. Purpose The present study aims to determine the effect of adopting voice on subordinates' work engagement based on organization-based self-esteem (OBSE). Design/methodology/approach Three variables were rated according to the seven-point Likert-type response scales. To control the effect of common method variance, an online survey was conducted to collect data from 206 samples at Chinese firms by employing a two-wave and time-lagged approach. In addition, structure equation modeling analysis was adopted to verify the hypotheses with Mplus 7. Findings Leaders' adoption of employee voice shows a positive association with employee OBSE and work engagement. OBSE is positively associated with work engagement and mediates the effect of adopting voice on work engagement. Practical implications As suggested from the mentioned results, organizations are required to encourage leaders to adopt employees' reasonable voice that can be an effective management tool impacting employee work engagement. Originality/value Though existing studies have discussed the effects of leader behaviors on subordinates' work engagement, the effect of leaders' adoption of employee voice on employee work engagement has been rarely studied. Based on the job demand-resource model, this study fills the gap by empirically examining the effect of adopting voice on work engagement. As indicated by the findings here, leaders' adoption of employee voice enhances employee OBSE, thereby facilitating work engagement. The present study provides insights to stimulate employee work engagement.",art
10.1108/PR-09-2023-0796,"Work autonomy and exit-voice choice: the role of skill utilization, learning from colleagues and future time orientation. PurposeUnderpinned by the exit-voice and work design models, this study investigates how work autonomy reduces employee turnover intentions and promotes voice behavior via the mediator of skill utilization and how this mediation process is moderated by social (learning from colleagues) and personality (future time orientation) characteristics.Design/methodology/approachThe hypothesized moderated mediation model was tested using regression analysis based on two-wave survey data of 350 Chinese employees.FindingsThe relationships between work autonomy on the one hand and voice behavior and turnover intentions on the other were mediated by skill utilization. Furthermore, such mediated relationships were intensified by collegial learning and future time orientation.Practical implicationsAdopting empowering HR practices (e.g. autonomous work teams and job rotation) that give employees job control and learning opportunities is important to encourage employee voice and reduce turnover.Originality/valueThe paper identifies collegial learning and future time orientation as boundary conditions that regulate the effects of work autonomy. This reconciles the contradictory findings in prior research testing the relationship between autonomy and exit-voice decisions.",art
10.1108/PR-02-2024-0111,"Cyborging HRM theory: from evolution to revolution - the challenges and trajectories of AI for the future role of HRM. Purpose - Human Resource Management (HRM) is a critical organizational function, which has continued to evolve. We aim to explore how different HRM will be in the workplace of the future and why, from both strategic and practical perspectives. We present and discuss core HRM practices, such as recruitment, selection and training, as well as peripheral activities, such as monitoring health and safety, and diversity management, reflecting on how they may transform in the workplace of the future. Design/methodology/approach - This is a conceptual thought piece, building on the Substitution, Augmentation, Modification and Redefinition (SAMR) model, to offer a futuristic view of HRM in the era of AI. Findings - Discussing the contemporary challenges of Artificial Intelligence, which we predict will lead to what we term Cyborging HRM. Practical implicationsThis study can help HR managers and practitioners to be prepared for AI-embedded HRM systems in the future. For academics, it offers an innovative framework to establish future writing on HRM in the AI era. Originality/value - AI is pushing HRM and the profession will have to undergo a revolutionary rather than evolutionary transformation in order to remain a necessary and valuable function for organizations. Our elaboration of the SAMR model and suggested implications for the future transformation of HRM should be worthwhile to organizations, management and the wider society.",art
10.1108/PR-03-2023-0257,"A systematic literature review on artificial intelligence in recruiting and selection: a matter of ethics. Purpose - Starting from the relevance of ethics to the application of artificial intelligence (AI) in the context of employee recruitment and selection (R&S), in this article, we aim to provide a comprehensive review of the literature in light of the main ethical theories (utilitarian theories, theories of justice, and theories of rights) to identify a future research agenda and practical implications. Design/methodology/approach - On the basis of the best-quality and most influential journals, we conducted a systematic review of 120 articles from two databases (Web of Science and Scopus) to provide descriptive results and adopt a framework for deductive classification of the main topics. Findings - Inspired by the three ethical theories, we identified three thematic lines of enquiry for the debate on AI in R&S: (1) the utilitarian view: the efficient optimisation of R&S through AI; (2) the justice view: the perceptions of justice and fairness related to AI techniques; and (3) the rights view: the respect for legal and human rights requirements when AI is applied. Originality/value - This article provides a detailed assessment of the adoption of AI in the R&S process from the standpoint of traditional ethics theories and offers an integrative theoretical framework for future research on AI in the broader field of HRM.",art
10.1108/PR-08-2021-0554,"How do work-family practices influence employee work-family conflict? Moderations of commitment-based HRM and human capital. PurposeThe paper aims to clarify the relationship between organizational work-family practices and employee work-family conflict in light of the boundary conditions of commitment-based human resource management (HRM) and employee human capital.Design/methodology/approachThe paper opted for a multi-source, multi-level design and surveyed 1,717 individuals (including CEOs, HR managers and employees) from 159 firms in China. The model was tested using hierarchical linear modeling.FindingsThe paper provides empirical insights that the effect of work-family practices on work-family conflict is indispensably dependent on the adoption of commitment-based HRM. In addition, employee human capital further moderated this interaction in that the effect of work-family practices on reducing work-family conflict was most salient with high-education employees who were embedded in a high-commitment HRM system.Research limitations/implicationsTesting the hypotheses in the Chinese context has both its merits and drawbacks. Specific results are pursuant to the Chinese context. Therefore, a cross-cultural comparative study is called upon.Practical implicationsThe paper includes implications for organizations striving to minimize employee work-family conflict.Originality/valueThis paper primarily applies the resource-building perspective to examine the synergistic effects of organizational resources (targeting work-family practices together with general commitment-based HRM) and individual intellectual resources (human capital) on employee work family conflict.",art
10.1108/PR-07-2024-935,Editorial: Caring for our workers: advancing human resource management to support workforce mental health. ,art
10.1108/PR-04-2023-0286,"Retirement decisions in times of COVID-19: the role of telework, ICT-related strain and social support on older workers' intentions to continue working. PurposeThe COVID-19 pandemic forced many employees to work from home, resulting in new demands that might cause older workers to reevaluate their retirement decisions. Building on the extended Job Demands-Resources model, which explains work-related outcomes in times of crisis, this study investigated the change in older workers' intention to continue working during COVID-19 and the role of ICT-related strain and social support during teleworking.Design/methodology/approachA two-wave longitudinal study was conducted among 1,406 older workers (i.e. 50 years or older). Data were collected before the COVID-19 pandemic (2019: T1) and during the pandemic (2021: T2). In total, 967 older workers completed the survey at both waves.FindingsOlder workers' nearing retirement experienced a decline in intentions to continue working during the pandemic, while intentions of older workers further away from their retirement increased. At T2, the negative relationship between telework intensity and the intention to continue working was mediated by ICT-related strain. Perceived social support at work seems to buffer the negative impact of telework intensity on ICT-related strain.Originality/valueThis study provides valuable insights into factors that may stimulate older workers' workforce participation by investigating effects of ICT-related strain and social support during telework. Organizations can implement interventions that enhance job resources and reduce job demands during telework to help mitigate ICT-related strain and postpone retirement.",art
10.1108/PR-05-2020-0377,"How hard can it be? A qualitative study following an HRT implementation in a global industrial corporate group. PurposeThe purpose of this paper is to critically study the implementation and contextualization of the human resource transformation (HRT) management model within the human resources (HR) function of a global industrial company group.Design/methodology/approachA qualitative case study that includes two data collections.FindingsImplementation of the HRT model led to tensions and conflicting interpretations of the mission of the HR function, and a tug of war about the distribution of work both within HR and between HR and line management. Splitting the HR function into three legs made the HR function's learning cycles more difficult. The corporate group had a decentralized and diverse business culture, and contextualization of the HRT model to this setting highlighted the model's embeddedness in the American business culture of centralization and standardization. Implementation of the model also entailed a transition from an employee to an employer perspective within HR.Research limitations/implicationsFor an assessment of HR's total work other parts of the HRT model (Ulrich and Brockbank, 2005) need to be involved since HR professionals in the insourced or outsourced shared service center (SSC) and Center of Expertise (CoE) and the e-HR tools are equally important for executing the total HR's mission. Further studies of the problematic human resource business partner (HRBP) role are needed and also what the development of e-HR solutions means for the HR profession.Practical implicationsThe authors argue for a continuous development of HR work, along with closer professional contact both with line managers (LMs) and within the HR function, for improved learning cycles and a need for contextualization when implementing management models.Social implicationsThe paper discusses the HRT model's impact on HR practitioners' and LMs' work practice.Originality/valueThis article shows the need for contextualization when implementing management models. The lack of such contextualization led to severe tensions, and the intentions of an efficient and respected HR function were not achieved. The study contributes an evaluation of the tensions between HRT as a normative and standardized model in business settings accustomed to variety and decentralized decision-making.",art
10.1108/PR-08-2021-0597,"Creatures of a lesser god! Gender-based differences in HR attributions mediated by person-job fit: a poly-contextual analysis. Purpose Using social information processing and sense-making theory, the current study examines how the poly-contextual factors and social environment of employees provide unique cues and shape an employee's person-job (PJ) fit perceptions in ways that enable males to perceive a better PJ fit than their female counterparts at work. These perceptions of PJ fit act as mediating processes between gender-based differences in HR commitment or HR control attributions. Design/methodology/approach After collecting two waves of data over a six-month period from a sample of 498 banking sector professionals in Pakistan, the hypothesized relationships were tested using hierarchical multiple regression. Findings It was found that gender (female) was positively related to HR control attributions and negatively related to PJ fit perceptions and HR commitment attributions. The mean differences between males and females concerning these study variables were significant. Also, PJ fit mediated the relationship between gender and HR attributions. Originality/value The study contributes to the advancement and understanding of the predictors of HR attributions by examining the poly-contextual factors that shape unique experiences, knowledge structures and social information processing, thus forming distinct PJ fit perceptions and subsequent HR commitment or control attributions for males and females.",art
10.1108/PR-07-2019-0401,"How and when perceived job search incivility leads to reduced job search behavior. Purpose The purpose of this study is to examine the influence of job seekers' perceived incivility during job search on their job search intensity via job search-specific self-esteem, and to explore how the job seekers' level of dispositional mindfulness buffers these relationships. Design/methodology/approach Using self-report measures, time-lagged data were obtained from 242 graduating students of a Chinese university. Findings Results showed that perceived incivility during job search was negatively related to job search-specific self-esteem, and that job search-specific self-esteem was positively related to job search intensity. Further, dispositional mindfulness mitigated the direct link between perceived incivility and job search-specific self-esteem and the indirect link between job seekers' perception of incivility and job search intensity through job search-specific self-esteem. Originality/value By integrating the recruitment and job search literature, we investigated how negative experiences (perceived incivility during recruitment) stemming from the context of job search influence the motivation of job seekers to continue their job search via the mediating role of job search-specific self-esteem. Further, for the first time, we explored the moderating role of dispositional mindfulness in the job search literature by utilizing the framework of positive psychology.",art
10.1108/PR-12-2020-0872,"What sort of collective bargaining is emerging in Nigeria?. Purpose Nigeria is experiencing an expanding variety of what is termed collective bargaining, which is being propelled by socio-economic challenges and the emerging political dispensation that had long eluded the country, albeit the numerous contours needing some pragmatic approaches from the state, employers of labour and the trade unions at the local and national levels. Therefore, this study represents an attempt to illustrate the rising collective bargaining pattern in Nigeria. Design/methodology/approach This study drew on employee and employer sectoral associations examples together with labour union structures of the state to assess what underlined collective bargaining developments from the broad context of collective bargaining and the industrial relations implications. Content analysis was employed to analyse the secondary data (found in relevant company handbooks, policies, collective agreements, etc.) and primary data obtained through unstructured interviews. Findings A form of collective bargaining is emerging where the trade unions are embracing symbiotic agreements at plant levels to improve conditions of employment and thus weakening the hold of the national union from collective bargaining - a move that may challenge the conceptual framework of collective bargaining as conceived by many states in developing economies. Originality/value This is an investigative paper, carefully trailing the framework of collective bargaining from direct contacts with all stakeholders in the labour corridors of Nigeria - such as the Nigeria Labour Congress, Nigeria Employers' Consultative Association, Chemical and Non-Metallic Products Employer's Federation, Metal Products Workers Union of Nigeria and Personnel Practitioners, cutting across all the segments of the political and economic development of the country.",art
10.1108/PR-05-2021-0330,"A moderated mediation model of counterproductive work behaviour, organisational justice, organisational embeddedness and psychological ownership. Purpose This study aimed to investigate the mechanisms through which organisational justice influences counterproductive work behaviour (CWB). This relationship was explained using a moderated mediation model where organisational embeddedness is a mediator between organisational justice and CWB, while psychological ownership (for the organisation) is a moderator of the relationship between organisational embeddedness and CWB. The conservation of resources (COR) theory was used as the underpinning theory to explain the interrelationships among the constructs. Design/methodology/approach Data were collected by administering a quantitative cross-sectional survey to employees of Punjab Police, a large public sector, law enforcement organisation in Pakistan. The study model was analysed using PLS-SEM to address the treatment of higher-order reflective-formative constructs. Findings The results showed that organisational justice is positively related to organisational embeddedness, while organisational embeddedness is negatively related to CWB. Organisational embeddedness was found to play a significant role in mediating the negative effects of organisational justice on CWB. Also, psychological ownership moderated the influence of organisational embeddedness on CWB in an interesting fashion. CWB was the highest when both embeddedness and ownership were low; however, CWB was not the lowest when both embeddedness and ownership were high. Research limitations/implications Reliance on self-report data, not accounting for the community embeddedness and discounting the differential effects of justice dimensions are some of the limitations of the present study. Despite these limitations, this study offers valuable insights into how the occurrence of CWB can be minimised. That is, apart from providing a work environment based on fair procedures and policies, it is critically important to manage the perceptions of embeddedness and psychological ownership of employees. Originality/value Although numerous researchers have studied the link between organisational justice and CWB, few have explored the roles of organisational embeddedness and psychological ownership in this relationship. This study thus posits a novel moderated mediation mechanism, based on the COR theory, through which organisational justice is translated into CWB. Moreover, this study adds value by investigating this model in the police force context, where justice and CWB have important consequences.",art
10.1108/PR-01-2021-0013,"Talking inclusion into being: communication as a facilitator and obstructor of an inclusive work environment. Purpose The purpose of this article is to examine the communicative factors that facilitate or hamper the development of an inclusive work environment with an emphasis on the communication about equality, diversity, and inclusion (EDI), while taking diversity characteristics of employees into account. Design/methodology/approach In total, 84 persons employed in Austria and Germany, who feature various observable and non-observable diversity characteristics, were interviewed following a problem-centered approach. Findings The results indicate that employees with (observable) diversity characteristics, who tend to feel less included, observe more excluding and marginalizing communication and practices in their organizations. Moreover, formal interpersonal communication appears to be more important to develop a highly inclusive workplace than informal interpersonal communication and other forms of communication about EDI. Research limitations/implications The sample was rather imbalanced and comprised only employees in Austria and Germany, which limits the study's explanatory power. However, the findings stress the significance of formal interpersonal communication as the cornerstone of an inclusive workplace, which should be followed up in future research. Practical implications In terms of the development of an inclusive work environment the findings suggest that strategic (i.e. formal) organizational communication about EDI issues is key to increase the perception of inclusion. Originality/value This paper contributes to the literature by demonstrating the importance of interpersonal communication as a key factor that facilitates, but also hampers an inclusive work environment.",art
10.1108/PR-09-2019-0483,"Drivers of intrapreneurship: an affective events theory viewpoint. Purpose In the current study framework, the authors test the underlying assumptions of affective events theory concerning the impact of job satisfaction and job insecurity driven by incivility on intrapreneurial behaviour. Design/methodology/approach Data were collected with a sample of 510 employees from five organisations. All hypotheses were tested via SmartPLS3. Additionally, a distinction between formative and reflective measures was performed. Findings Findings revealed that incivility decreases intrapreneurial behaviour, mediated by job satisfaction and job insecurity. Additionally, this study's results show that the relationship between job satisfaction and job insecurity and intrapreneurial behaviour distinguishes unionised employees from employees who are not unionised. Research limitations/implications The cross-sectional nature of the present data precluded definitive statements about causality. Additionally, further studies should increase the sample size and include an international perspective to ensure the overall generalisability of the results. Practical implications Practically, this study's findings point to the need for organisational management to understand better underlying employees' perceptions and their antecedents and consequences. Originality/value The study results contribute to the literature by testing the core assumptions of affective events theory and by extending the affective events theory model, incorporating contextual influences on the relationship between attitudes and behaviours. The authors also show for the first time that incivility can be directly (compared to indirectly) linked to emotional-based responses, but not to those responses driven by cognitive appraisals. Thus, the study also contributes to the incivility literature and the understanding of various antecedents and consequences of incivility. Additionally, this study addressed the notion of formative versus reflective measurement models for the first time relating to incivility and intrapreneurial behaviour, allowing for more sensitive and less biased results. Herein lies an additional methodological contribution.",art
10.1002/hrm.22102,"Surviving remotely: How job control and loneliness during a forced shift to remote work impacted employee work behaviors and well-being. This paper investigates the impact of job control and work-related loneliness on employee work behaviors and well-being during the massive and abrupt move to remote work amid the COVID-19 pandemic. We draw on job-demands control and social baseline theory to link employee perceived job control and work-related loneliness to emotional exhaustion and work-life balance and posit direct and indirect effects on employee minor counterproductive work behaviors, depression, and insomnia. Using a two-wave data collection with a sample of U.S. working adults to test our predictions, we find that high job control was beneficially related to emotional exhaustion and work-life balance, while high work-related loneliness showed detrimental relationships with our variables of interest. Moreover, we find that the beneficial impact of high perceived job control was conditional on individual segmentation preferences such that the effects were stronger when segmentation preference was low. Our research extends the literature on remote work, job control, and workplace loneliness. It also provides insights for human resource professionals to manage widespread remote work that is likely to persist long after the COVID-19 pandemic.",art
10.1002/hrm.22095,"Navigating the era of disruption: How emotions can prompt job crafting behaviors. Environmental disruptions can disturb the status quo. This can create the need for employees to navigate rapidly evolving demands in their work environment, often before formalized strategic plans can be developed and/or implemented. As such, understanding how employees experience and respond to these disruptions is critical for effective strategic human resource management. Drawing on appraisal theories of emotion, we argue that employees' appraisals of how the disruption has impacted their work can elicit discrete emotions (e.g., frustration and pride). In turn, these emotions can encourage employees to address challenges and opportunities by engaging in job crafting behaviors. Importantly, job crafting behaviors can have implications for subsequent employee outcomes (e.g., performance and well-being). We test our predictions using a three-wave survey (N = 402) in the context of the COVID-19 pandemic-an unexpected environmental disruption that sparked rapid change. Theoretically, our findings provide insight into why and how employees can self-initiate changes to their jobs in response to environmental disruptions as well as how job crafting behaviors impact employee outcomes. Practically, our findings provide insight and guidance to SHRM practitioners on how to effectively support and manage employees before, during, and after environmental disruptions.",art
10.1002/hrm.22211,"Dark side of algorithmic management on platform worker behaviors: A mixed-method study. This research investigates the impact of algorithmic management on worker behaviors, focusing on workers' commitment to service quality and referral tendencies. Drawing upon the job demands-resources model, we argue that high levels of algorithmic management could create hindrance demands that impede service quality and demotivate referral behaviors. We propose that high workload, as a challenge demand, buffers the negative effects of algorithmic management on worker outcomes. We find support for our proposed research model in an experiment with a sample of 1362 platform-based food-delivery riders. We also conduct a qualitative study with 21 riders, which provides a more nuanced understanding of how algorithmic management affects workers' attitudes, behaviors, and referral tendencies.",art
10.1002/hrm.22208,"An examination of whether and how leader humility enhances leader personal career success. Humble leaders are traditionally thought to create a great deal of human and social capital, yet be overshadowed by self-promoting rivals for promotions. We propose that through informal career mentoring, humble leaders can improve their organizational status and promotability. We tested our model among a multisource sample of 610 leaders across 18 industries and 21 job functions who participated in a leader development program. Leader humility was reported by the focal leaders' peers, leader mentoring behavior was reported by the focal leaders' direct reports, leader status was reported by the focal leaders' immediate bosses, and leader promotability was reported by the focal leaders' superiors. Results generally confirmed that leader humility predicted leader mentoring behavior, which in turn predicted leader status, and ultimately higher leader promotability ratings. We discuss how our findings extend and enrich the literatures on leader humility and mentoring, showing how humble leaders can ascend organizational hierarchies.",art
10.1002/hrm.22203,"Power to the people-And then? A multilevel leadership perspective on organizational decentralization. As organizations strive for more flexibility, decentralized decision-making has been at the core of many modern HR approaches. Yet, on a company-wide scale, it remains unclear whether decentralized decision-making structures improve organizational performance. Our study aims to illuminate prior ambiguous evidence by examining an employee-level mechanism underlying the organizational-level relationship between decentralization and performance, and scrutinizing the critical role of formal leaders for empowering employees in decentralized structures. Integrating the perspective of organizational structure as opportunities and constraints with social information processing theory, we argue that transferring decision-making authority to lower organizational levels positively affects employees' emergent leadership, but only to the extent that direct supervisors engage in empowering leadership and guide employees' behaviors in decentralized structures. Our predictions are supported by a multilevel, multisource field study of 5807 individuals across 144 companies. We further find that emergent leadership yields a positive effect on organizational performance. By developing a multilevel model that explicates both an employee-level mechanism and a contingency of the decentralization-organizational performance link, our study enriches understanding of the key role that formal leaders play for achieving the strategic goals of decentralized decision-making in organizations.",art
10.1002/hrm.22146,"Strong signals in HR management: How the configuration and strength of an HR system explain the variability in HR attributions. In explaining the effectiveness of a human resource (HR) system within an organization, scholars have turned their attention to HR attributions, which capture employees' perceptions about the intentions behind their organization's HR practices, and have demonstrated that an HR system's content and process of communication drive employees to form specific HR attributions. However, current research has not yet explained why HR attributions differ among employees. We investigate the variability in HR attributions among individuals and the organizational factors that influence this variability. Using signaling theory and the concept of situational strength, we argue that employees' HR attributions vary less when signals sent by HR management are unambiguous and the conveyed information is consistent. Using an online scenario-based experiment with 760 participants, our findings reveal that the configuration and the strength of an HR system as well as their combination have significant effects on the variability in HR attributions among employees, and these effects differ for the different HR attributions.",art
10.1002/hrm.22135,"The multiple roles of network ties in the employee job search process. Employee water cooler conversations with coworkers, as well as interpersonal interactions outside of one's employing organization, are key sources of information about the labor market. Although the value of network ties for job search is well recognized, research to date has tended to focus on how network ties relate to job search outcomes, providing little insight into what types of network ties offer information that shape job seeker perceptions and behaviors throughout the job search process. Drawing from Steel's (2002) evolutionary search model and social network research, we assert that different types of network ties-those that are weak versus strong and those internal versus external to the organization-offer different types of labor market information, which impacts employees' labor market perceptions, propensity to search for employment, and job search effectiveness. Using a time-separated research design in a sample of healthcare workers, we find weak external ties are associated with more optimistic perceptions of the labor market, increased marketability, and early-stage job search, and strong external ties are associated with greater marketability and propensity to engage in an early-stage job search. Strong internal ties (SITs) have dual, opposing influences on employee job search: SITs are associated with less early-stage job search, but they are also associated with increased concrete prospects when employees are more actively seeking alternative employment. Taken together, this study provides more nuanced insights into how network ties influence employee job search processes, clarifying ambiguities in this literature.",art
10.1002/hrm.22115,"The HR ecosystem framework: Examining strategic HRM tensions in knowledge-intensive organizations with boundary-crossing professionals. In this article, we use Snell & Morris' (2021) new HR ecosystem framework to empirically examine strategic fit and alignment tensions for knowledge-intensive organizations and professional knowledge workers. Rich data were collected through in-depth interviews with 75 members of faculty engaged in knowledge-intensive work for Business and Management Schools (B&M), and the analysis of strategy documents. The application of the framework enables us to contribute to dynamic capabilities theory and SHRM in four ways. Firstly, drawing on the findings, we propose an adapted HR Ecosystem framework for analyzing knowledge-intensive organizations, which incorporates tensions across the four subsystems of an HR ecosystem (strategy, capabilities, composition, and cultures). These tensions are shaped by interactions within and between levels (meso, macro and micro) and ecosystems. Secondly, our findings underscore the need for knowledge-intensive organizations to engage with a plurality of collaborative and competing internal and external stakeholder interests, including those of knowledge workers who constitute key organizational stakeholders. Thirdly, our analysis shows how the views and behaviors of internal organizational stakeholders are affected by ecosystem dynamics within and beyond the physical boundaries of an organization. Fourthly, we reveal how conflicting organizational cultures connect with other HR ecosystem subsystems to constrain collegialism and cohesion. By evidencing how knowledge-intensive organizations are in a constant flux of alignment and misalignment, the article demonstrates the value of the HR ecosystem framework in examining and informing SHRM in organizations in other industries.",art
